day,idx,date,count,tavg,prcp,snow,wspd,holiday,std dev
5,343,2/27/2025,12,41.5,0.012,0,10.5,,
6,344,2/28/2025,31,44.1,0,0,18.1,,
7,345,3/1/2025,40,31.6,0,0,11.2,ramadan,
1,346,3/2/2025,36,25.7,0,0,4,,
2,347,3/3/2025,5,36,0,0,10.5,,
3,348,3/4/2025,17,45.7,0.642,0,12.3,,
4,349,3/5/2025,3,44.2,0.37,0,14.8,ash wednesday,
5,350,3/6/2025,11,30.7,0,0,12.2,,
6,351,3/7/2025,8,35.4,0.185,0,7,lent friday,
7,352,3/8/2025,19,38.8,0,0,10.3,,
1,353,3/9/2025,24,46.6,0,0,8.7,,
2,354,3/10/2025,11,55.5,0,0,9.6,,
3,355,3/11/2025,13,44.3,0,0,11.3,,
4,356,3/12/2025,21,43.2,0,0,5.7,,
5,357,3/13/2025,15,47.1,0,0,5.7,,
6,358,3/14/2025,29,58.3,0.15,0,17,lent friday,
7,359,3/15/2025,29,62.8,0.311,0,15.2,,
1,360,3/16/2025,14,37.4,0.209,1,8.9,,
2,361,3/17/2025,13,36.7,0.5,0,12.7,st patricks day,
3,362,3/18/2025,22,53.4,0,0,11.4,,
4,363,3/19/2025,9,44.4,0.539,0,14.5,,
5,364,3/20/2025,4,37,0.22,1.969,12.6,,
6,365,3/21/2025,23,41.9,0,0,15.3,lent friday,
7,366,3/22/2025,66,44.6,0,0,10.3,,
1,367,3/23/2025,23,39.9,0.22,0,14.3,,
2,368,3/24/2025,9,39.4,0,0,15.9,,
3,369,3/25/2025,11,39.7,0.028,0,8,,
4,370,3/26/2025,15,41.2,0,0,4.3,,
5,371,3/27/2025,29,48.7,0,0,7.6,,
6,372,3/28/2025,18,63.5,0,0,14.2,lent friday,
7,373,3/29/2025,20,59.5,0.028,0,12.1,,
1,374,3/30/2025,20,55.4,0.815,0,12.2,,
2,375,3/31/2025,21,39.7,0.004,0,11.1,,
3,376,4/1/2025,9,37.8,0.004,0,13.2,,
4,377,4/2/2025,3,46,1.252,0,14.3,,
5,378,4/3/2025,14,52.5,0,0,12.9,,
6,379,4/4/2025,10,44.1,0.35,0,10.8,lent friday,
7,380,4/5/2025,23,45.9,0.012,0,10.9,,
1,381,4/6/2025,24,41.9,0,0,8.6,,
2,382,4/7/2025,0,37.4,0.02,0,15.4,,
3,383,4/8/2025,39,33.8,0,0,7.9,,
4,384,4/9/2025,16,39.7,0.071,0,9.4,,
5,385,4/10/2025,11,39.9,0.12,0,10.3,,
6,386,4/11/2025,37,44.1,0,0,8.3,lent friday,
7,387,4/12/2025,26,47.8,0,0,6.2,,
1,388,4/13/2025,59,55.8,0,0,12.8,,
2,389,4/14/2025,12,59.7,0,0,14.7,,
